number,type_of_vehicle,object_type,name_stopping,the_official_name,location,routes,coordinates
1,Автобус,Остановка,САД ВАЛЕТИНА ПИКУЛЯ,САД ВАЛЕТИНА ПИКУЛЯ,"Измайловский пр., 11-я Красноармейская ул.","1М,1МБ,70, МА,С-1,Ц 1,10,43,К-90,К-252 ","59.912447,30.307162"
2,Автобус,Временная,"УЛ. ДЫБЕНКО, 22","УЛ. ДЫБЕНКО, 22",улица Дыбенко,0.0,"59.905469,30.476443"
3,Автобус,КП,ЦВЕТНОЙ ГОРОД (ВЫСАДКИ -ПОСАДКИ НЕТ),,Муринская дорога,0.0,"60.020658,30.471025"
4,Автобус,ДС,"""ПРИДОРОЖНАЯ АЛЛЕЯ"" (ВЫСАДКИ и ПОСАДКИ НЕТ)","""ПРИДОРОЖНАЯ АЛЛЕЯ"" (ВЫСАДКИ и ПОСАДКИ НЕТ)","Придорожная аллея, Суздальский пр.","60,69, 199 ","60.059058,30.344882"
5,Автобус,Остановка,"""СКК""","""СКК""","проспект Юрия Гагарина, Кузнецовская улица"," 0,63,72,184 ","59.869725,30.336938"
6,Автобус,Остановка,"""СКК""","""СКК""",проспект Юрия Гагарина," 0,16,63,72,184 ","59.868922,30.336547"
7,Автобус,Остановка,"""СЛАВЯНКА"", РОСТОВСКАЯ УЛ.","""СЛАВЯНКА"", РОСТОВСКАЯ УЛ.",," К-174,К-180,187шк,К-294,К-354,375,375А,388 ","59.735984,30.463469"
8,Автобус,Остановка,"""СЛАВЯНКА"", РОСТОВСКАЯ УЛ.","""СЛАВЯНКА"", РОСТОВСКАЯ УЛ.",,"375,375А,388, 0,СП003,К-202,К-294,К-354,К-521 ","59.744725,30.477748"
9,Автобус,Остановка,"""СЛАВЯНКА"",РОСТОВСКАЯ УЛ.","""СЛАВЯНКА"",РОСТОВСКАЯ УЛ.",Ростовская улица," СП003,375,375А ","59.744269,30.477617"
10,Автобус,Остановка,1 КМ,1 КМ,Песочное шоссе,84,"60.114095,30.225488"
11,Автобус,Остановка,1 КМ [75]<,1 КМ,Песочное шоссе,75,"60.113921,30.225508"
12,Автобус,Остановка,"1 ЛИНИЯ, УГ. БОЛЬШОГО ПР. В.О. [7]<","1 ЛИНИЯ, УГ. БОЛЬШОГО ПР. В.О.","1-я и Кадетская линии, Большой ВО Проспект","7, 1,1,3М,С-3,5М,7А,10,24,24А,47,100,128,191 ","59.940931,30.291578"
13,Автобус,Остановка,"1 ЛИНИЯ,УГ. БОЛЬШОГО ПР. В.О. [7]","1 ЛИНИЯ,УГ. БОЛЬШОГО ПР. В.О.","Большой пр. В.О., Кадетская и 1-я линии",47,"59.941030,30.290937"
14,Автобус,Остановка,1 ОЗЕРО,1 ОЗЕРО,Александровское ш.,494,"60.170616,30.013345"
15,Автобус,Остановка,1 ОЗЕРО,1 ОЗЕРО,Александровское ш.,494,"60.170715,30.012932"
16,Автобус,Остановка,1-Й БАДАЕВСКИЙ ПРОЕЗД,1-Й БАДАЕВСКИЙ ПРОЕЗД,"Московское шоссе, 2-й Бадаевский проезд","179,192,196,197,388, 0,63,72,К-174,186,К-201,К-202,К-292,К-293,К-293А,К-296А,326,К-354,К-521 ","59.803212,30.395767"
17,Автобус,Остановка,1-Й БАДАЕВСКИЙ ПРОЕЗД,1-Й БАДАЕВСКИЙ ПРОЕЗД,Железнодорожная улица,"179,192,196,388, 0,К-292,К-293,К-296А,326,К-354 ","59.802620,30.395458"
18,Автобус,Остановка,1-Й ВЕРХНИЙ ПЕР.,1-Й ВЕРХНИЙ ПЕР.,"1-й Верхний переулок, проспект Культуры","99,99ш,139, К-10А,К-99,К-175,К-252А,К-539 ","60.055927,30.382467"
19,Автобус,Временная,1-Й ВЕРХНИЙ ПЕР.,1-Й ВЕРХНИЙ ПЕР.,"Верхняя улица, 1-й Верхний переулок"," 99,К-99,139 ","60.054364,30.380507"
20,Автобус,Остановка,1-Й МУРИНСКИЙ ПР.,1-Й МУРИНСКИЙ ПР.,"Большой Сампсониевский пр., 1-й Муринский пр.","86, 002,33,60,137,185,К-240А,1000 ","59.988708,30.333669"
21,Автобус,Остановка,1-Й МУРИНСКИЙ ПР. [86]<,1-Й МУРИНСКИЙ ПР.,"Большой Сампсониевский пр., 1-й Муринский пр.","86, 1МА.,33,60,137,К-262,1000 ","59.988030,30.333558"
22,Автобус,Остановка,1-Я И КАДЕТСКАЯ ЛИНИИ В.О.,1-Я И КАДЕТСКАЯ ЛИНИИ В.О.,"Кадетская и 1-я линии В.О., Магдалинский переулок","1,3МА,47, 000,6А,7,10,24,К-30,41,46,100,К-120,128,152,К-175,191 ","59.946740,30.284043"
23,Автобус,Остановка,"1-Я И КАДЕТСКАЯ ЛИНИИ,УГ. УНИВЕРСИТЕТСКОЙ НАБ. [24]","1-Я И КАДЕТСКАЯ ЛИНИИ,УГ. УНИВЕРСИТЕТСКОЙ НАБ.","Кадетская и 1-я линии В.О., Румянцевская площадь",24.47,"59.939540,30.293340"
24,Автобус,Остановка,"1-Я И КАДЕТСКАЯ ЛИНИИ,УГ. УНИВЕРСИТЕТСКОЙ НАБ. [24]<","1-Я И КАДЕТСКАЯ ЛИНИИ,УГ. УНИВЕРСИТЕТСКОЙ НАБ.","1-я и Кадетская линии, Румянцевская пл."," 3М,3МА,7А,47 ","59.938751,30.293580"
25,Автобус,Остановка,"1-Я И КАДЕТСКАЯ ЛИНИЯ,УГ. СРЕДНЕГО ПР. [6]","1-Я И КАДЕТСКАЯ ЛИНИЯ,УГ. СРЕДНЕГО ПР.","1-я и Кадетская линии, Репина ул.","3М,3МА,6,24,47, 1,3МБ,С-3,5М,6А,7,10,10 А,24А,46,128,135А,191,191А ","59.944534,30.287010"
26,Автобус,Остановка,"1-Я И КАДЕТСКАЯ ЛИНИЯ,УГ. СРЕДНЕГО ПР. [6]<","1-Я И КАДЕТСКАЯ ЛИНИЯ,УГ. СРЕДНЕГО ПР.","Средний проспект В.О., улица Репина",6.47,"59.945250,30.284130"
27,Автобус,Остановка,1-Я КОННАЯ ЛАХТА,1-Я КОННАЯ ЛАХТА,Коннолахтинский проспектГраничная улица,"112, 002,К-210,К-232 ","60.006755,30.124864"
28,Автобус,Остановка,1-Я КОННАЯ ЛАХТА,1-Я КОННАЯ ЛАХТА,Коннолахтинский проспектГраничная улица,"112, 002,К-210,К-232 ","60.006338,30.125627"
29,Автобус,Остановка,1-Я КРАСНОАРМЕЙСКАЯ УЛ. [71],1-Я КРАСНОАРМЕЙСКАЯ УЛ.,"ул. 1-я Красноармейская, Советский пер.","1М,1МБ,71, 1МА,С-1,2М,2МА,4М,4МБ,5М,5Мб,10,49,50,К-90,К-115,К-177,181,К-186 ","59.915962,30.310437"
30,Автобус,Остановка,"1-Я ЛИНИЯ В.О., УГ. БОЛЬШОГО ПР. В.О.","1-Я ЛИНИЯ В.О., УГ. БОЛЬШОГО ПР. В.О.","1-я и Кадетская линии, Большой ВО Проспект","3М,3МА,6,7,24,47, 1,1,3МБ,С-3,5М,6А,7А,10,10 А,24А,46,128,135А,191,191А ","59.940810,30.291400"
31,Трамвай,Остановка,1-й Медицинский институт T (40),1-Й МЕДИЦИНСКИЙ ИНСТИТУТ,"Льва Толстого, Рентгена","40, 2,21,48 ","59.965261,30.318858"
32,Трамвай,Остановка,1-й Медицинский институт T (40),1-Й МЕДИЦИНСКИЙ ИНСТИТУТ,"улица Льва Толстого, улица Рентгена","40, 2,21,48 ","59.965250,30.320100"
33,Трамвай,Остановка,"1-й Муринский пр. T (20, 48)",1-й Муринский пр.,"1-й Муринский проспект, Большой Сампсониевский проспект","20,48, 2,21,38,40,55,61 ","59.988400,30.334510"
34,Трамвай,Остановка,"1-й Муринский пр. Т (20, 38)",1-й Муринский пр.,"Лесной пр., 1-й Муринский проспект","20,61, 2,21,32,38,40,48 ","59.988756,30.340622"
35,Троллейбус,Остановка,"1-я Красноармейская ул. (3, 8)",1-я Красноармейская ул.,"1-я Красноармейская улица, Московский проспект","3,8, 15,17 ","59.916244,30.317100"
36,Трамвай,Остановка,1-я Красноармейская улица Т (16),1-Я КРАСНОАРМЕЙСКАЯ УЛИЦА,"1-я Красноармейская ул., Советский пер.","16, 3 ","59.915950,30.309410"
37,Трамвай,Остановка,"1-я и Кадетская линии T (6, 40)",1-Я И КАДЕТСКАЯ ЛИНИИ,"Средний, Репина","6,40, 6А ","59.945072,30.285322"
38,Трамвай,Остановка,"1-я и Кадетская линии Т (дубль, неакт.)",1-Я И КАДЕТСКАЯ ЛИНИИ,"Средний проспект В.О., улица Репина",40,"59.945000,30.285450"
39,Троллейбус,Остановка,"1-я и Кадетская линии. Метро ""Спортивная"" (1)","1-Я И КАДЕТСКАЯ ЛИНИИ. СТАНЦИЯ МЕТРО ""СПОРТИВНАЯ""","Кадетская и 1-я линии В.О., Магдалинский переулок",1,"59.946830,30.284720"
40,Троллейбус,Остановка,"1-я и Кадетская линии. Метро ""Спортивная"" (1)","1-Я И КАДЕТСКАЯ ЛИНИИ. СТАНЦИЯ МЕТРО ""СПОРТИВНАЯ""","Кадетская и 1-я линии В.О., Магдалинский переулок",1,"59.947070,30.283970"
41,Трамвай,Остановка,"1-я и Кадетская линии. Метро ""Спортивная"" Т (6, 40)","1-Я И КАДЕТСКАЯ ЛИНИИ. МЕТРО ""СПОРТИВНАЯ""","Кадетская и 1-я линии В.О., Кадетская линия В.О.","6,40, 6А ","59.947290,30.284110"
42,Автобус,Остановка,10 И 11 ЛИНИИ ПО НАБ. Л. ШМИДТА [1]<,10 И 11 ЛИНИИ ПО НАБ. Л. ШМИДТА,"Лейтенанта Шмидта наб., 10-11-я линии","1, 7,41,128,152,К-359Б ","59.934947,30.280089"
43,Автобус,Остановка,10 КМ,10 КМ,Гостилицкое ш.,"463,463А,489,682,683,683А,684,686,687, 686А ","59.833013,29.740341"
44,Автобус,Остановка,10 КМ,10 КМ,Гостилицкое ш.,"463,463А,489,682,683,683А,684,686,687, 685А,686А ","59.833138,29.741076"
45,Автобус,Остановка,10 КМ (ОБРАТНО ПО ТРЕБОВАНИЮ) [435],10 КМ,H-89,435,"60.196218,30.147571"
46,Автобус,Остановка,10 КМ (ОБРАТНО ПО ТРЕБОВАНИЮ) [435]<,10 КМ,H-89,435,"60.196166,30.147727"
47,Автобус,Остановка,"10 КМ [145, 165, 482, 482а, 482в, 484, 484б]",10 КМ,Таллинское ш.,"145,145А,147,165,442,458,458Б,481,482,482В,484, 0,78,145Б,145Х,193,К-245,301,К-403,К-445А,К-445В,482А,484Б ","59.773368,30.125112"
48,Автобус,Остановка,"10 КМ [145, 165, 482, 482а, 482в, 484, 484б]<",10 КМ,Таллинское ш.,"145,145А,147,165,442,458,458Б,481,482,482В,484,78,145Б,145Х,193,К-245,301,К-403,К-445А,К-445В,482А,484Б ","59.774014,30.126242"
49,Автобус,Остановка,"10 КМ., ПО ТРЕБОВАНИЮ","10 КМ., ПО ТРЕБОВАНИЮ",A-125,"483,483А","60.248758,29.400056"
50,Автобус,Остановка,"10 КМ., ПО ТРЕБОВАНИЮ","10 КМ., ПО ТРЕБОВАНИЮ",A-125,"483,483А","60.248466,29.399831"
51,Автобус,Остановка,10-Я КРАСНОАРМЕЙСКАЯ УЛ.,10-Я КРАСНОАРМЕЙСКАЯ УЛ.,"Лермонтовский пр., 10-я Красноармейская ул.","10,43, 1М,1МБ,2,6,10.,10 А,22,49,К-62,К-186,191 ","59.912532,30.297362"
52,Автобус,Остановка,10-Я КРАСНОАРМЕЙСКАЯ УЛ.,10-Я КРАСНОАРМЕЙСКАЯ УЛ.,"Лермонтовский пр., 10-я Красноармейская ул.","10,43, 1МБ,2,6,10.,10 А,22,49,К-62,70,71,78,К-90,К-186 ","59.913072,30.297680"
53,Троллейбус,Остановка,"10-я Красноармейская улица (3, 8)",10-Я КРАСНОАРМЕЙСКАЯ УЛИЦА,"Лермонтовский, Красноармейская 11-я","3,8, 15 ","59.912008,30.297431"
54,Троллейбус,Остановка,"10-я Красноармейская улица (3, 8)",10-Я КРАСНОАРМЕЙСКАЯ УЛИЦА,"Лермонтовский, Красноармейская 10-я","3,8, 15 ","59.913225,30.297700"
55,Автобус,Остановка,10-я СОВЕТСКАЯ УЛ.,10-Я СОВЕТСКАЯ УЛ.,"Новгородская ул., 10-я Советская ул."," 15,24,27,46,46Б,55,136,К-156,181,К-185,191,1946 ","59.934421,30.384330"
56,Автобус,Временная,10я Советская ул.,10я Советская ул.,"Мытнинская улица, 10-я Советская улица"," 15,46,55 ","59.936957,30.381212"
57,Автобус,Временная,10я Советская ул.,10я Советская ул.,"Мытнинская улица, улица Моисеенко","46,55, 15,181 ","59.937340,30.381220"
58,Автобус,Остановка,11 КМ,11 КМ,Красносельское шоссе,"273,301, 147,К-402,К-449 ","59.722167,30.265562"
59,Автобус,Остановка,11 КМ,11 КМ,Красносельское шоссе,"273,301, К-402,К-449 ","59.721248,30.268051"
60,Автобус,Остановка,12 КМ,12 КМ,,"433,436,567, К-433,К-436 ","60.185572,30.315796"
61,Автобус,Остановка,12 КМ<,12 КМ,,"433,436,567, К-433,К-436 ","60.185520,30.315211"
62,Автобус,Остановка,12-13 ЛИНИИ (ПО СРЕДНЕМУ ПР. В.О.) [6],12-13 ЛИНИИ (ПО СРЕДНЕМУ ПР. В.О.),"Средний пр., 12-13-я линии","3М,3МА,6, 000,1,3МБ,С-3,6А,7,К-30,41,42,К-44,47,К-62,100,К-120,128,151,К-298 ","59.941117,30.271756"
63,Автобус,Остановка,12-13 ЛИНИИ В.О. [],12-13 ЛИНИИ В.О.,"Малый проспект В.О., 12-13-я линии","47,100, 1,3М,3МА,6,6А,24,42,151,К-249А,ВО,ВО УК ","59.944835,30.267044"
64,Автобус,Остановка,12-13 ЛИНИИ В.О. []<,12-13 ЛИНИИ В.О.,"Малый проспект В.О., 12-13-я линии","47,100, 1,3М,3МА,6,6А,41,128,151,152 ","59.944733,30.266004"
65,Троллейбус,Остановка,"12-13-я линии (10, 11, объезд)",12-13-Я ЛИНИИ,"Средний проспект В.О., 12-13-я линии В.О.",10.11,"59.941030,30.271700"
66,Трамвай,Остановка,"12-13-я линии T (6, 40)",12-13-Я ЛИНИИ,"Средний, 12-13-я линии","6,40, 6А ","59.940800,30.270700"
67,Трамвай,Остановка,"12-13-я линии T (6, 40)",12-13-Я ЛИНИИ,"Средний, 12-13-я линии","6,40, 6А ","59.941022,30.271183"
68,Троллейбус,Остановка,12-13-я линии В.О. (9),12-13-Я ЛИНИИ В.О.,"Малый пр. В.О., 12-13-я линии","9, 10,11 ","59.944664,30.265856"
69,Троллейбус,Остановка,12-13-я линии В.О. (9),12-13-Я ЛИНИИ В.О.,"Малый пр. В.О., 12-13-я линии","9, 10,11 ","59.944939,30.267475"
70,Автобус,Остановка,13 КМ,13 КМ,Гостилицкое ш.,"463,463А,489,682,683,683А,684,686,687, 685А,686А ","59.813725,29.712502"
71,Автобус,Остановка,13 КМ,13 КМ,Гостилицкое ш.,"463,463А,489,682,683,683А,684,686,687, 686А ","59.813409,29.711901"
72,Автобус,Остановка,14 И 15 ЛИНИИ ПО НАБ. Л. ШМИДТА [1]<,14 И 15 ЛИНИИ ПО НАБ. Л. ШМИДТА,"Лейтенанта Шмидта наб., 14-15-я линии","1, 7,41,128,152,К-359Б ","59.933278,30.275750"
73,Автобус,Остановка,14 КМ,14 КМ,"Первомайская улица, Лагерное шоссе",331,"59.761863,30.628161"
74,Автобус,Остановка,14 КМ,14 КМ,"Первомайская улица, Лагерное шоссе",331,"59.761771,30.627812"
75,Автобус,Остановка,14-15 ЛИНИИ В.О.,14-15 ЛИНИИ В.О.,"Средний пр., 15-я линия","3М,3МА,6, 000,1,3МБ,С-3,6А,7,24,24А,К-30,41,42,К-44,47,К-62,100,К-120,128,152,К-298 ","59.940179,30.268002"
76,Троллейбус,Остановка,"14-15-я линии (10, 11, объезд)",14-15-Я ЛИНИИ,"Средний проспект В.О., 15-я линия В.О.",10.11,"59.940120,30.267930"
77,Автобус,Остановка,15 КМ,15 КМ,,"433,436,567, К-433,К-436 ","60.211780,30.303640"
78,Автобус,Остановка,15 КМ,15 КМ,Лагерное шоссе," К-220А,327,332,336,337,337А ","59.763873,30.634791"
79,Автобус,Остановка,15 КМ,15 КМ,Лагерное шоссе," К-220А,327,332,336,337,337А ","59.763819,30.634013"
80,Автобус,Остановка,"15 КМ, ПО ТРЕБОВАНИЮ",15 КМ,Лагерное шоссе,"328,335,335А,438,438З, 00,К-220А,327,328А,329,332,336,337,337А ","59.766239,30.640912"
81,Автобус,Остановка,"15 КМ, ПО ТРЕБОВАНИЮ",15 КМ,Лагерное шоссе,"328,335,335А,438,438З, 00,К-220А,327,328А,329,332,336,337,337А ","59.766391,30.640054"
82,Автобус,Остановка,15 КМ<,15 КМ,,"433,436,567, К-436 ","60.211879,30.302838"
83,Автобус,Остановка,"16 И 17 ЛИНИИ [7, 1]",16 И 17 ЛИНИИ,"Большой пр. В.О., Большой ВО Проспект","1,7,42,128,151, 3М,3МА,6,К-6к,7А,24,24А,100,К-124,К-186,К-309,К-346,К-349,К-350,К-359А,К-690 ","59.935551,30.271146"
84,Автобус,Остановка,16 КВАРТАЛ,16 КВАРТАЛ,Кронштадтское шоссе,"1Кр,2КР,2Л,101,175,215, 002,2ЛКр,3КР,3Кр,175А,К-405,406,к-406,К-407 ","60.002505,29.757505"
85,Автобус,Остановка,16 КВАРТАЛ [101]<,16 КВАРТАЛ,Кронштадтское шоссе,"2КР,2Л,3Кр,101,175,215, 002,2ЛКр,3КР,175А,К-405,406,к-406,К-407 ","60.002725,29.757231"
86,Автобус,Остановка,"16-17 ЛИНИЯ В.О., УГ. БОЛЬШОГО ПР.В.О.","16-17 ЛИНИЯ В.О., УГ. БОЛЬШОГО ПР.В.О.","16-я линия, Большой пр. В.О.","41, 3М,3МА,6,7,24,47,100,128,К-186 ","59.935955,30.270250"
87,Автобус,Остановка,16-17 линии ВО у Камской ул.,16-17 линии ВО у Камской ул.,"16-17-я линии В.О., набережная реки Смоленки"," ВО,ВО УК ","59.946769,30.257399"
88,Автобус,Остановка,16-17-Я ЛИНИИ В.О.,16-17-Я ЛИНИИ В.О.,"Большой пр. В.О., Большой ВО Проспект","7,128,152, 1,К-6к,7А,41,К-124,К-186,К-309,К-349,К-350,К-359Б,К-690 ","59.935450,30.269890"
89,Автобус,Остановка,16-17-Я ЛИНИИ В.О. []<,16-17-Я ЛИНИИ В.О.,"Малый проспект В.О., 16-17-я линии","47,100, 3М,3МА,6,6А,41,42 ","59.943212,30.260682"
90,Автобус,Остановка,"16-17-й ЛИНИИ В.О., УГ. БОЛЬШОГО ПР. В.О. [42]","16-17-Й ЛИНИИ В.О., УГ. БОЛЬШОГО ПР. В.О.","Большой проспект В.О., 16-17-я линии В.О.",42.151,"59.935510,30.271850"
91,Троллейбус,Остановка,"16-17-я линии В.О. (10, 11)",16-17-Я ЛИНИИ В.О.,"Большой проспект В.О., 16-17-я линии В.О.","10,11, 1,9 ","59.935570,30.271220"
92,Троллейбус,Остановка,"16-17-я линии В.О. (10, 11)",16-17-Я ЛИНИИ В.О.,"Большой пр. В.О., Большой ВО Проспект","10,11, 1,9,152 ","59.935300,30.269400"
93,Автобус,Остановка,"17 КМ., ПО ТРЕБОВАНИЮ","17 КМ., ПО ТРЕБОВАНИЮ",A-125,"483,483А","60.277862,29.328952"
94,Автобус,Остановка,"17 КМ., ПО ТРЕБОВАНИЮ","17 КМ., ПО ТРЕБОВАНИЮ",A-125,"483,483А","60.277612,29.328828"
95,Автобус,Остановка,18 КМ,18 КМ,Приозерское ш.," 433,436,567 ","60.223760,30.274383"
96,Автобус,Остановка,18 КМ,18 КМ,Приозерское ш.," 433,К-433,436,567 ","60.223752,30.273675"
97,Автобус,Остановка,18 КМ,18 КМ,Приозерское шоссе,"433,436,567, К-436 ","60.225120,30.272031"
98,Автобус,Остановка,18 КМ (ВЫСАДКА),18 КМ (ВЫСАДКА),Приозерское ш.,433,"60.223829,30.274104"
99,Автобус,Остановка,18 КМ (ВЫСАДКА),18 КМ (ВЫСАДКА),Приозерское шоссе,"433,436,567, К-436 ","60.225085,30.272836"
100,Автобус,Остановка,"18 КМ., ПО ТРЕБОВАНИЮ","18 КМ., ПО ТРЕБОВАНИЮ",A-123,"213,420,420А,420Б, К-305,483Б ","60.167134,29.414713"
101,Автобус,Остановка,"18 КМ., ПО ТРЕБОВАНИЮ <","18 КМ., ПО ТРЕБОВАНИЮ <",A-123,"213,420,420А,420Б, К-305,483Б ","60.166899,29.414971"
102,Автобус,Остановка,18-19 ЛИНИИ [6],18-19 ЛИНИИ,"Средний пр., 18-19-я линии","3М,3МА,6, 000,1,3МБ,С-3,6А,7,К-30,41,К-44,47,К-62,К-120,128,151,ВО,ВО УК ","59.938795,30.264141"
103,Автобус,Остановка,18-19 ЛИНИИ [6]<,18-19 ЛИНИИ,"Средний пр., 18-19-я линии","3М,3МА,6, 000,1,3МБ,С-3,6А,7,К-30,41,К-44,47,К-62,100,К-120,128,152,К-154,К-298,ВО,ВО УК ","59.938693,30.263081"
104,Автобус,Остановка,18-19-Я ЛИНИИ В.О.,18-19-Я ЛИНИИ В.О.,"Малый проспект В.О., 18-19-я линии В.О.","47,100, 3М,3МА,6,6А,К-298,ВО,ВО УК ","59.942360,30.258380"
105,Автобус,Остановка,18-19-Я ЛИНИИ ПО НАБ. ЛЕЙТЕНАНТА ШМИДТА,18-19-Я ЛИНИИ ПО НАБ. ЛЕЙТЕНАНТА ШМИДТА,"набережная Лейтенанта Шмидта, 16-17-я линии В.О.","1, 41,К-359Б,ВО,ВО УК ","59.932003,30.273126"
106,Троллейбус,Остановка,18-19-я линии В.О. (9),18-19-Я ЛИНИИ В.О.,"Малый пр. В.О., 18-19-я линии","9, 10,11 ","59.942600,30.259400"
107,Троллейбус,Остановка,18-19-я линии В.О. (9),18-19-Я ЛИНИИ В.О.,"Малый пр. В.О., 18-19-я линии","9, 10,11 ","59.942900,30.259700"
108,Автобус,Остановка,19 КМ,19 КМ,Приозерское ш.,"436,567, К-436 ","60.231359,30.262702"
109,Автобус,Остановка,19 КМ,19 КМ,,"454, 454А ","59.716431,29.822613"
110,Автобус,Временная,19 КМ,19 КМ,"Оразцовая улица, Сарицкая улица",0.0,"59.748344,30.368474"
111,Автобус,Остановка,19 КМ {],19 КМ {],,"454, 454А ","59.716593,29.822259"
112,Автобус,Остановка,"19 КМ., ПО ТРЕБОВАНИЮ","19 КМ., ПО ТРЕБОВАНИЮ",A-123,"213,420,420А,420Б, К-305,483Б ","60.169750,29.394170"
113,Автобус,Остановка,"19 КМ., ПО ТРЕБОВАНИЮ","19 КМ., ПО ТРЕБОВАНИЮ",A-123,"213,420,420А,420Б, К-305,483Б ","60.169570,29.394090"
114,Автобус,Остановка,19 КМ<,19 КМ,Приозерское ш.,"436,567, К-436 ","60.231365,30.262045"
115,Автобус,Остановка,2 КМ,2 КМ,A-125,"319,483,483А","60.205223,29.526958"
116,Автобус,Остановка,2 КМ,2 КМ,Пухтоловская дорога,"321, ,211,321Ш,322,420А ","60.221024,29.712383"
117,Автобус,Остановка,2 КМ,2 КМ,Пухтоловская дорога,"321, ,211,321Ш,322,420А ","60.220673,29.712448"
118,Автобус,Остановка,"2 КМ [319,483]",2 КМ,A-125,"319,483,483А","60.205573,29.526775"
119,Автобус,Остановка,2 ОЗЕРО,2 ОЗЕРО,Александровское ш.,494,"60.174835,30.021644"
120,Автобус,Остановка,2 ОЗЕРО,2 ОЗЕРО,Александровское шоссе,494,"60.174890,30.021210"
121,Автобус,Временная,2-3 линии В.О.,2-3 линии В.О.,"Средний проспект В.О., 2-3-я линии В.О.","К-44, К-120,К-175 ","59.944560,30.283287"
122,Автобус,Остановка,2-Й МУРИНСКИЙ ПР.,2-Й МУРИНСКИЙ ПР.,"Институтский проспект, 2-й Муринский проспект","94, К-50,К-252,К-298 ","60.000164,30.347521"
123,Автобус,Остановка,2-Й МУРИНСКИЙ ПР.,2-Й МУРИНСКИЙ ПР.,"Институтский проспект, 2-й Муринский проспект","94, 86,К-298 ","60.001022,30.348267"
124,Автобус,Временная,2-Й МУРИНСКИЙ ПР.,,"2-й Муринский проспект, площадь Мужества"," К-50,138 ","59.998555,30.361766"
125,Автобус,Временная,2-Й МУРИНСКИЙ ПР.,,"2-й Муринский проспект, площадь Мужества"," К-50,138 ","59.998603,30.361938"
126,Автобус,Временная,2-Й МУРИНСКИЙ ПР.,2-Й МУРИНСКИЙ ПР.,"2-й Муринский проспект, Институтский проспект"," 38,94,К-94 ","60.000796,30.346895"
127,Автобус,Остановка,2-Я КОННАЯ ЛАХТА,2-Я КОННАЯ ЛАХТА,,"112, 002,К-210,К-232 ","60.009470,30.117403"
128,Автобус,Остановка,2-Я КОННАЯ ЛАХТА,2-Я КОННАЯ ЛАХТА,,"112, 002,К-210,К-232 ","60.009494,30.116867"
129,Автобус,Остановка,2-Я КРАСНОФЛОТСКАЯ УЛ.,2-Я КРАСНОФЛОТСКАЯ УЛ.,ул. Фридриха Энгельса,"370,372,375А,383, 0,К-299,493 ","59.681317,30.465891"
130,Автобус,Остановка,2-Я КРАСНОФЛОТСКАЯ УЛ.,2-Я КРАСНОФЛОТСКАЯ УЛ.,ул. Фридриха Энгельса,"370,372,375А,383, 0,К-299,493 ","59.681957,30.464603"
131,Автобус,Остановка,2-Я КРАСНОФЛОТСКАЯ УЛ.,2-Я КРАСНОФЛОТСКАЯ УЛ.,Революции ул.,"493, К-377,К-521 ","59.684966,30.468071"
132,Автобус,Остановка,2-Я КРАСНОФЛОТСКАЯ УЛ.,2-Я КРАСНОФЛОТСКАЯ УЛ.,Революции ул.,"493, К-377,К-521 ","59.685108,30.467683"
133,Троллейбус,Остановка,2-й Муринский пр. (34),2-Й МУРИНСКИЙ ПР.,"Институтский, Муринский 2-й","34, 94 ","59.999800,30.347400"
134,Троллейбус,Остановка,2-й Муринский пр. (34),2-Й МУРИНСКИЙ ПР.,"Институтский, Муринский 2-й","34, 94 ","60.001300,30.348400"
135,Трамвай,Остановка,"2-й Муринский пр. T (40, 55)",2-Й МУРИНСКИЙ ПР.,"2-й Муринский проспект, Мужества пл.","40,55, 9,20,21,38,47,48,55А,61,9  2  ","59.998731,30.361017"
136,Трамвай,Остановка,"2-й Муринский пр. T (40, 55)",2-Й МУРИНСКИЙ ПР.,"2-й Муринский проспект, Светлановская площадь","40,55, 9,20,21,38,47,48,55А,61,9  2  ","60.003020,30.330550"
137,Трамвай,Остановка,"2-й Муринский пр., 51 T (40, 55)","2-Й МУРИНСКИЙ ПР., 51","2-й Муринский проспект, Мужества пл.","40,55, 9,20,21,38,47,48,55А,61,9  2  ","59.998583,30.361578"
138,Троллейбус,Остановка,"2-я Красноармейская улица (15, 17)",2-Я КРАСНОАРМЕЙСКАЯ УЛИЦА,"Московский проспект, 2-я Красноармейская улица","15,17","59.915720,30.317950"
139,Автобус,Остановка,21 КМ [485],21 КМ,,"485, К-485 ","59.883362,30.680235"
140,Автобус,Остановка,21 КМ [485]<,21 КМ,,"485, К-485 ","59.883894,30.680889"
141,Автобус,Остановка,21 КМ ПУЛКОВСКОГО ШОССЕ,21 КМ ПУЛКОВСКОГО ШОССЕ,M20,90.187,"59.757500,30.322778"
142,Автобус,Остановка,21 КМ ПУЛКОВСКОГО ШОССЕ,21 КМ ПУЛКОВСКОГО ШОССЕ,"Киевское ш., Киевское шоссе",90,"59.757222,30.323410"
143,Автобус,Остановка,21 КМ. (ПО ТРЕБОВАНИЮ),21 КМ.,A-123," 213,420,420А,420Б ","60.170475,29.360061"
144,Автобус,Остановка,21 КМ. (ПО ТРЕБОВАНИЮ)<,21 КМ.,A-123," 420,420А,420Б ","60.170167,29.360113"
