number,type_of_vehicle,object_type,name_stopping,the_official_name,location,routes,coordinates
1672,Автобус,Остановка,"ДАЛЬНЕВОСТОЧНОГО ПР.,УГ. ПР. БОЛЬШЕВИКОВ, [8]","ДАЛЬНЕВОСТОЧНОГО ПР.,УГ. ПР. БОЛЬШЕВИКОВ,","Большевиков пр., Дальневосточный пр.","4,8, 00,8 А,К-8,8Х,12,12Х,К-119,К-385 ","59.877029,30.479377"
1673,Автобус,Остановка,"ДАЛЬНЕВОСТОЧНОГО ПР.,УГ. ПР. БОЛЬШЕВИКОВ, [8]<","ДАЛЬНЕВОСТОЧНОГО ПР.,УГ. ПР. БОЛЬШЕВИКОВ,","Дальневосточный пр., пр. Большевиков","4,8,К-218, 00,8 А,К-8,8Х,119,К-119,140,476 ","59.877857,30.478424"
1674,Автобус,Остановка,ДАЛЬНЕВОСТОЧНЫЙ ПР.,ДАЛЬНЕВОСТОЧНЫЙ ПР.,"Народная ул., Дальневосточный пр.","4,140, 00,К-4 МЕГА,8,12,К-49,56,К-56,97,118,К-218,сп228,К-239,К-264,К-339,К-388,К-401,К-515 ","59.881968,30.471105"
1675,Автобус,Остановка,ДАЛЬНЕВОСТОЧНЫЙ ПР.,ДАЛЬНЕВОСТОЧНЫЙ ПР.,"Народная улица, Дальневосточный проспект","140, 4,К-4 МЕГА,К-5,К-8,К-12,К-49,56,К-56,К-97,119,К-119,180,сп228,К-239,К-264,К-339,К-365,К-388,К-401,К-409,476,К-515,ночь,хаха ","59.881698,30.468639"
1676,Автобус,Остановка,ДАЛЬНЕВОСТОЧНЫЙ ПР.,,"ул. Дыбенко, Дальневосточный пр."," 00,ночь,хаха ","59.901510,30.459940"
1677,Автобус,Остановка,ДАЛЬНЕВОСТОЧНЫЙ ПР.,ДАЛЬНЕВОСТОЧНЫЙ ПР.,"Дальневосточный пр., ул. Антонова-Овсеенко"," 191,К-218 ","59.905126,30.453249"
1678,Автобус,Остановка,ДАЛЬНЕВОСТОЧНЫЙ ПР.,ДАЛЬНЕВОСТОЧНЫЙ ПР.,"ул. Коллонтай, Дальневосточный проспект"," 5СП,12,К-83,191А,209 ","59.913017,30.441042"
1679,Автобус,Остановка,"ДАЛЬНЕВОСТОЧНЫЙ ПР. [118, 140, 12]",ДАЛЬНЕВОСТОЧНЫЙ ПР.,"Дальневосточный пр., ул. Новосёлов","12,97,118, 4,К-5,К-12,12Х,К-97,118А,118Б,К-135,180,К-365,К-385,К-409,ночь,хаха ","59.883674,30.468701"
1680,Автобус,Остановка,ДАЛЬНЕВОСТОЧНЫЙ ПР. [],ДАЛЬНЕВОСТОЧНЫЙ ПР.,"Дальневосточный проспект, Коллонтай ул.","191, 5,К-5,191сп,К-209,К-254,К-269,1946 ","59.912762,30.438802"
1681,Автобус,Остановка,ДАЛЬНЕВОСТОЧНЫЙ ПР. []<,ДАЛЬНЕВОСТОЧНЫЙ ПР.,"улица Коллонтай, Дальневосточный проспект","191, 00,5СП,12,К-83,191А,191сп,К-209,К-254,К-269,1946 ","59.912460,30.440326"
1682,Автобус,Остановка,ДАЛЬНЕВОСТОЧНЫЙ ПР. Д.5,ДАЛЬНЕВОСТОЧНЫЙ ПР. Д.5,"Дальневосточный пр., ул. Подвойского", К-218 ,"59.906350,30.452154"
1683,Автобус,Остановка,"ДАЛЬНЕВОСТОЧНЫЙ ПР.,УГ. УЛ. ТЕЛЬМАНА [12]","ДАЛЬНЕВОСТОЧНЫЙ ПР.,УГ. УЛ. ТЕЛЬМАНА","ул. Тельмана, Дальневосточный пр.","12,97,118, 4,5СП,К-12,12Х,К-97,118А,118Б,180,К-365,К-385 ","59.890094,30.465469"
1684,Автобус,Остановка,"ДАЛЬНЕВОСТОЧНЫЙ ПР.,УГ. УЛ. ТЕЛЬМАНА [12]<","ДАЛЬНЕВОСТОЧНЫЙ ПР.,УГ. УЛ. ТЕЛЬМАНА","улица Тельмана, Дальневосточный проспект",12.97,"59.889974,30.465999"
1685,Автобус,Остановка,"ДАЧНАЯ УЛ. [145, 165]",ДАЧНАЯ УЛ.,Таллинское ш.,"145,145А,147,165, 0,78,145Б,145Х,193,К-245,301,К-403,К-445А,К-445В,К-484 ","59.768927,30.119888"
1686,Автобус,Остановка,"ДАЧНАЯ УЛ. [145, 165]<",ДАЧНАЯ УЛ.,Таллинское ш.,"145,145А,147,165, 0,78,145Б,145Х,193,К-245,301,К-403,К-445А,К-445В,К-484 ","59.769229,30.120548"
1687,Автобус,Остановка,"ДАЧНОЕ, Ж/Д СТ.","ДАЧНОЕ, Ж/Д СТ.","Народного Ополчения пр., Дачный пр.","18,18А,68,81,162, 0,2,68А,73,87,89,114,130,142,165,193,СП230 ","59.836449,30.268750"
1688,Автобус,Остановка,"ДАЧНОЕ, Ж/Д СТ.","ДАЧНОЕ, Ж/Д СТ.","Народного Ополчения пр., Дачный пр.","18,18А,68,81,162, 0,2,68А,73,87,89,114,130,142,165,193,195,СП230 ","59.836730,30.269587"
1689,Автобус,Остановка,"ДАЧНЫЙ ПОСЁЛОК ""ГРАНИТ""","ДАЧНЫЙ ПОСЁЛОК ""ГРАНИТ""",,435,"60.250962,30.210116"
1690,Автобус,Остановка,"ДАЧНЫЙ ПОСЁЛОК ""ГРАНИТ""","ДАЧНЫЙ ПОСЁЛОК ""ГРАНИТ""",,435,"60.249813,30.208621"
1691,Автобус,Остановка,"ДАЧНЫЙ ПР. [130, 145]",ДАЧНЫЙ ПР.,"Ветеранов пр., Дачный пр.","1М,1МБ,130,145,145А, 0,1МА,С-1,4СП,К-20,К-29,78,К-84,114,К-130,130Х,145Б,145Х,160,193,К-195,К-227,К-246,302 ","59.845311,30.250960"
1692,Автобус,Остановка,"ДАЧНЫЙ ПР. [130, 145]<",ДАЧНЫЙ ПР.,"Ветеранов пр., Дачный пр.","1М,1МБ,130,145,145А, 0,1МА,С-1,4СП,К-20,К-29,К-49,68,78,114,К-130,130Х,145Б,145Х,160,193,195,К-195,К-227,К-246,302 ","59.845381,30.251781"
1693,Автобус,Остановка,"ДАЧНЫЙ ПР., 23","ДАЧНЫЙ ПР., 23","Дачный пр., Новаторов бул.","68,81, 0,00,18,53,68А,87,88,89,108,114,142,193,195,СП230 ","59.839748,30.259416"
1694,Автобус,Остановка,"ДАЧНЫЙ ПР., 33 [68,89]","ДАЧНЫЙ ПР., 33",Дачный пр.,"68,81,89, 0,68А,88,К-89,193,195,СП230 ","59.837060,30.263631"
1695,Автобус,Остановка,"ДАЧНЫЙ, 19","ДАЧНЫЙ, 19","Дачный пр., Новаторов бул.","68,81,89, 00,0,007,11,53,68А,87,88,К-89,114,142,187Б,193,СП230 ","59.841053,30.256176"
1696,Автобус,Остановка,"ДАЧНЫЙ, 25","ДАЧНЫЙ, 25",Дачный пр.,"68,81,89, 00,0,53,68А,87,88,К-89,142,193,195,СП230 ","59.838724,30.260746"
1697,Автобус,Остановка,"ДВИНСКАЯ УЛ. 15 [22, 49, 65, 66, 70, 70, 71, 71]",ДВИНСКАЯ УЛ. 15,"Двинская ул., Шотландская ул.","22,35,43,49,65,66,67,67Б,70,71, 00,0,10,К-19,22/,35А,36,К-66,67А,К-67,К-90,К-115 ","59.909071,30.242108"
1698,Автобус,Остановка,"ДВИНСКАЯ УЛ. 15 [22, 49, 65, 66, 70, 70, 71, 71]<",ДВИНСКАЯ УЛ. 15,"Двинская ул., Шотландская ул.","22,35,43,49,65,66,67,67Б,70,71,К-90, 0,00,К-19,22/,36,К-66,67А,К-67,К-115 ","59.909331,30.242367"
1699,Автобус,Остановка,"ДВИНСКАЯ УЛ. 9 [22, 49, 65, 66, 70, 70, 71, 71]",ДВИНСКАЯ УЛ. 9,"Двинская ул., Виндавская ул.","22,35,43,49,65,66,67,67Б,70,71, 00,0,10,К-19,22/,35А,36,К-66,К-67,К-90,К-115 ","59.909033,30.248782"
1700,Автобус,Остановка,"ДВИНСКАЯ УЛ. 9 [22, 49, 65, 66, 70, 70, 71, 71]<",ДВИНСКАЯ УЛ. 9,"Двинская ул., Межевой канал","22,35,43,49,65,66,67,67Б,70,71, 00,0,К-19,22/,36,К-66,К-67,К-90,К-115 ","59.909197,30.247833"
1701,Автобус,Остановка,ДВОРЕЦ,ДВОРЕЦ,"Революции ул., ул. Фридриха Энгельса","370,372,375А,383,493, 0,К-286,К-299,338,К-377,379,379А,К-521,545 ","59.684556,30.454529"
1702,Автобус,Остановка,ДВОРЕЦ,ДВОРЕЦ,"Революции ул., ул. Фридриха Энгельса","370,372,375А,383,493, 0,179,К-286,К-299,338,К-377,379,379А,К-521,545 ","59.684791,30.454739"
1703,Автобус,Остановка,ДВОРЕЦ МОЛОДЕЖИ,ДВОРЕЦ МОЛОДЕЖИ,"улица Профессора Попова, улица Даля","25,25А, 1,Sh2,2М,2МБ,5М,5Ма,10.,10,46 ","59.970890,30.290320"
1704,Автобус,Остановка,ДВОРЕЦ МОЛОДЕЖИ <,ДВОРЕЦ МОЛОДЕЖИ,"улица Профессора Попова, улица Даля","25,25А, 1,Sh2,2М,2МБ,5М,5Ма,10.,10,46Б,180 ","59.970821,30.291109"
1705,Автобус,Остановка,"ДВОРЕЦ СПОРТИВНЫХ ИГР ""ЗЕНИТ"" [178]","ДВОРЕЦ СПОРТИВНЫХ ИГР ""ЗЕНИТ""",Бутлерова ул.,"61,178, 00,000,К-50,123,124,К-178 ","60.003547,30.398106"
1706,Автобус,Остановка,"ДВОРЕЦ СПОРТИВНЫХ ИГР ""ЗЕНИТ"" []","ДВОРЕЦ СПОРТИВНЫХ ИГР ""ЗЕНИТ""",Бутлерова ул.,"178, К-50,К-178 ","60.003688,30.398759"
1707,Автобус,Остановка,"ДВОРЕЦ ТВОРЧЕСТВА ЮНЫХ [7, 3, 27, 22, 24]",ДВОРЕЦ ТВОРЧЕСТВА ЮНЫХ,"Невский пр., пл. Островского","3,3М,3МБ,7,22,24,27,181,191, 000,00,2М,3МА,С-3,Ц 3,7А,24А,27сп,39э,49,135,135А,191А,191сп ","59.933586,30.339276"
1708,Автобус,Остановка,"ДВОРЦОВАЯ НАБ. [7, 24]",ДВОРЦОВАЯ НАБ.,"Дворцовый проезд, Адмиралтейский проезд","3М,3МБ,5М,7,10,24,191, 000,1,2М,3,3МА,С-3,5Ма,5Мб,С-5,6,7А,10.,10 А,24А,27,46,47,100,135,135А,191/,191А,191сп,К-209,К-252 ","59.938765,30.311331"
1709,Автобус,Остановка,"ДВОРЦОВАЯ НАБ. [7, 24]<",ДВОРЦОВАЯ НАБ.,"Дворцовый проезд, Адмиралтейский проезд","2МА,3М,5М,7,10,24,191, 000,1,2М,3,3МА,3МБ,С-3,5Ма,5Мб,С-5,7А,10.,10 А,22,24А,27,47,100,135,135А,191/,191А,191сп,К-252 ","59.939157,30.311343"
1710,Автобус,Остановка,ДЕГТЯРНАЯ УЛ. [15],ДЕГТЯРНАЯ УЛ.,"ул. 8-я Советская, ул. Дегтярная"," 3М,3МБ,4М,4МБ,15,22,24,27,55,181,191,К-289 ","59.936160,30.375520"
1711,Автобус,ДС,ДЕМОНСТРАЦИОННЫЙ ПРОЕЗД (посадки/высадки нет),ДЕМОНСТРАЦИОННЫЙ ПРОЕЗД (посадки/высадки нет),"Демонстрационный проезд, улица Типанова"," 2М,С-2,39А,39э,59,К-287 ","59.851487,30.324779"
1712,Автобус,Остановка,ДЕР. АНДРЕЕВКА,ДЕР. АНДРЕЕВКА,,484,"59.643471,29.820246"
1713,Автобус,Остановка,ДЕР. АНДРЕЕВКА,ДЕР. АНДРЕЕВКА,,"484, К-484 ","59.643498,29.820557"
1714,Автобус,Остановка,ДЕР. АНДРЕЕВКА [],ДЕР. АНДРЕЕВКА,, К-484 ,"59.642500,29.820833"
1715,Автобус,Остановка,"ДЕР. АННИНО, 24","ДЕР. АННИНО, 24",,"442,442А,458,458А,458Б,461","59.771076,30.055706"
1716,Автобус,Остановка,"ДЕР. АННИНО, 24","ДЕР. АННИНО, 24",,"442,442А,458,458А,458Б,461","59.770590,30.056425"
1717,Автобус,Остановка,"ДЕР. АННИНО, ГАРАЖ","ДЕР. АННИНО, ГАРАЖ",,"442,442А,458,458А,458Б,461","59.773555,30.052037"
1718,Автобус,Остановка,"ДЕР. АННИНО, ГАРАЖ","ДЕР. АННИНО, ГАРАЖ",,"442,442А,458,458А,458Б,461","59.773020,30.051511"
1719,Автобус,Остановка,"ДЕР. АННИНО, ПРАВЛЕНИЕ С/Х ""ПОБЕДА""","ДЕР. АННИНО, ПРАВЛЕНИЕ С/Х ""ПОБЕДА""",,"442,442А,458,458А,458Б,461, 162,163,200,210 ","59.775879,30.041703"
1720,Автобус,Остановка,"ДЕР. АННИНО, ПРАВЛЕНИЕ С/Х ""ПОБЕДА""","ДЕР. АННИНО, ПРАВЛЕНИЕ С/Х ""ПОБЕДА""","Садовая улица, Центральная улица","442,442А,458,458А,458Б, 162,163,200,210,461 ","59.775829,30.041906"
1721,Автобус,Остановка,"ДЕР. АННИНО, ПРАВЛЕНИЕ С/Х ""ПОБЕДА""","ДЕР. АННИНО, ПРАВЛЕНИЕ С/Х ""ПОБЕДА""",," 442,442А,458,458А,458Б ","59.775683,30.041608"
1722,Автобус,Остановка,ДЕР. БОЛЬШИЕ ГОРКИ,ДЕР. БОЛЬШИЕ ГОРКИ,,481,"59.703622,29.849639"
1723,Автобус,Остановка,ДЕР. БОЛЬШИЕ ГОРКИ <,ДЕР. БОЛЬШИЕ ГОРКИ,Ропшинское шоссе,481,"59.701300,29.849700"
1724,Автобус,Остановка,ДЕР. ВИЛЛОЗИ,ДЕР. ВИЛЛОЗИ,Гатчинское ш.,477,"59.697179,30.104030"
1725,Автобус,Остановка,ДЕР. ВИЛЛОЗИ [477],ДЕР. ВИЛЛОЗИ,Гатчинское ш.,477,"59.696443,30.104459"
1726,Автобус,Остановка,ДЕР. ВИЛЬПОВИЦЫ,ДЕР. ВИЛЬПОВИЦЫ,,687,"59.752090,29.688750"
1727,Автобус,Остановка,ДЕР. ВИЛЬПОВИЦЫ,ДЕР. ВИЛЬПОВИЦЫ,,"489,687","59.751920,29.688670"
1728,Автобус,Остановка,ДЕР. ВОРОНИНО,ДЕР. ВОРОНИНО,,"685А, 685 ","59.754900,29.272720"
1729,Автобус,Остановка,ДЕР. ВОРОНИНО <,ДЕР. ВОРОНИНО,,"685А, 685 ","59.754710,29.272630"
1730,Автобус,Остановка,ДЕР. ГЛОБИЦЫ,ДЕР. ГЛОБИЦЫ,," 685,685А ","59.741845,29.218462"
1731,Автобус,Остановка,ДЕР. ГЛОБИЦЫ,ДЕР. ГЛОБИЦЫ,,685А,"59.741553,29.210795"
1732,Автобус,Остановка,ДЕР. ГЛОБИЦЫ <,ДЕР. ГЛОБИЦЫ,," 685,685А ","59.741710,29.218370"
1733,Автобус,Остановка,ДЕР. ГЛЯДИНО [],ДЕР. ГЛЯДИНО,,"454, 454А ","59.714684,29.778281"
1734,Автобус,Остановка,ДЕР. ГЛЯДИНО []<,ДЕР. ГЛЯДИНО,,"454, 454А ","59.714570,29.779816"
1735,Автобус,Временная,ДЕР. ГОРБУНКИ,ДЕР. ГОРБУНКИ,Стрельнинское шоссе," 162,163,200,210 ","59.815015,29.986725"
1736,Автобус,Временная,ДЕР. ГОРБУНКИ,ДЕР. ГОРБУНКИ,Стрельнинское шоссе," 162,163,200,210 ","59.814681,29.987219"
1737,Автобус,Остановка,ДЕР. ГОРКИ,ДЕР. ГОРКИ,,686,"59.683800,29.397740"
1738,Автобус,Остановка,ДЕР. ГОРКИ,ДЕР. ГОРКИ,,"686, 686Б ","59.684060,29.398600"
1739,Автобус,Остановка,ДЕР. ГОСТИЛИЦЫ,ДЕР. ГОСТИЛИЦЫ,"Гостилицкое шоссе, Новая улица","463,463А,489,682,683,683А,684,685А,686, 685,686А ","59.746230,29.622650"
1740,Автобус,Остановка,ДЕР. ГОСТИЛИЦЫ,ДЕР. ГОСТИЛИЦЫ,Гостилицкое ш.,489,"59.747777,29.623910"
1741,Автобус,Остановка,ДЕР. ГОСТИЛИЦЫ <,ДЕР. ГОСТИЛИЦЫ,Гостилицкое ш.," 463,463А,489,682,683,683А,684,685,685А,686,686А ","59.747040,29.623310"
